name|type|description|prerequisites|prerequisite_feats|benefit|normal|special|source|teamwork|critical|grit|style|performance|racial|companion_familiar|race_name|note|goal|completion_benefit|multiples|suggested_traits
Ability Focus|Monster|One of this creature's special attacks is particularly difficult to resist.|Special attack.||Choose one of the creature's special attacks. Add +2 to the DC for all saving throws against the special attack on which the creature focuses.||A creature can gain this feat multiple times. Its effects do not stack. Each time the creature takes the feat, it applies to a different special attack.|Bestiary|0|0|0|0|0|0|0|||||1|
Abundant Revelations|General|You can plumb the depths of your mystery to use your revelations more often.|Mystery class feature.||Choose one of your revelations that has a number of uses per day. You gain 1 additional use per day of that revelation.||You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new revelation.|Ultimate Magic|0|0|0|0|0|0|0|||||1|
Accursed|Story|Your curse weighs down your soul like a millstone around your neck.|You must carry a curse that can be lifted only by a quest or similar great undertaking, or have the Cursed Birth background.||You gain spell resistance equal to 5 + your character level, as the curse interferes with all magic. Unlike most spell resistance, it can't voluntarily be lowered, though your own spells and magic items still automatically affect you.|||Ultimate Campaign|0|0|0|0|0|0|0|||Your curse is lifted or you are able to purge the corruption of your fiendish blood (the circumstances of either vary widely based on the nature of the curse, and are up to the GM).|You lose the spell resistance described above. You gain spell resistance equal to 11 + your character level, but only against harmful enchantment, necromancy, and transmutation spells and spell-like abilities-your aura resists further attempts to curse you. Harmless spells automatically bypass this spell resistance whether you desire it or not. This spell resistance can be voluntarily lowered.|0|
Accursed Critical|General|Your spells carry an embedded curse that manifests when they strike true.|Critical Focus, ability to cast bestow curse or major curse, caster level 9th.|Critical Focus|When you confirm a critical hit with a spell or spell-like ability, you may cast bestow curse or major curse on that target as an immediate action. This works even with ranged spells. You must have bestow curse or major curse prepared or otherwise available to cast, and using this ability casts the corresponding spell.|||Ultimate Magic|0|1|0|0|0|0|0|||||0|
Accursed Hex|General|You can make a second attempt at failed hexes.|Hex class feature.||When you target a creature with a hex that cannot target the same creature more than once per day, and that creature succeeds at its saving throw against the hex's effect, you can target the creature with the same hex a second time before the end of your next turn. If the second attempt fails, you can make no further attempts to target that creature with the same hex for 1 day.|You can only target a creature with these hexes once per day.||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Accursed Hex|Mythic|Your hexes flare with persistent potency.|Accursed HexUM.|Accursed Hex|When you use Accursed Hex to target a creature with one of your hexes a second time, that creature must roll its saving throw twice and take the lower result.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Acrobatic|General|You are skilled at leaping, jumping, and flying.|||You get a +2 bonus on all Acrobatics and Fly skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Acrobatic|Mythic|Your grace and fluidity are beyond compare.|Acrobatic.|Acrobatic|The bonus on Acrobatics and Fly skill checks from Acrobatic increases by 2. In addition, you can expend one use of mythic power to treat an Acrobatics or Fly check as if you had rolled a natural 20. You must decide to use this ability before making the roll.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Acrobatic Steps|General|You can easily move over and through obstacles.|Dex 15, Nimble Moves.|Nimble Moves|Whenever you move, you may move through up to 15 feet of difficult terrain each round as if it were normal terrain. The effects of this feat stack with those provided by Nimble Moves (allowing you to move normally through a total of 20 feet of difficult terrain each round).|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Adaptive Fortune|General|Your luck takes on almost legendary proportions.|Fortunate One, adaptable luck racial trait, character level 10th, halfling.|Fortunate One|Increase the number of times per day you can use the adaptable luck racial trait by 1. Furthermore, when you use adaptable luck, increase the luck bonus for each type of use by 2.|||Advanced Race Guide|0|0|0|0|0|1|0|Halfling||||0|
