name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
A Shining Beacon|Religion|||||||Valor, rulership, justice, honor||You deal additional damage equal to your weapon’s critical hit modifier when you score a successful critical hit with a weapon on a demon. This damage is added only after the damage is totaled, and is not multiplied by the critical hit multiple.||
A Sure Thing|Faction|||||||||Once per day, you gain a +2 bonus on a single attack against an evil-aligned creature. If the creature is not evil-aligned, this ability is wasted with no benefit.||
Aballonian Resilience|Regional|||||||||You gain a +4 trait bonus on saves to avoid nonlethal damage from cold environments. In addition, you begin play with a cold-weather outfit at no cost.||Pathfinder Player Companion: People of the Stars
Abendego Spellpiercer|Regional|||||||||You gain a +2 trait bonus on concentration checks when spellcasting.||
Aberration Hunter|Regional|||||||||You gain a +1 trait bonus on attacks of opportunity against aberrations.||
Absalom Hotspur|Regional|||||||||You gain a +1 trait bonus on Initiative checks and Knowledge (local) checks.||
Absolute Loyalty|Basic|Combat||||||||You gain the one-time ability to immediately cast atonement upon yourself as a spell-like ability upon performing an act or being subjected to an effect that spell affects. This ability can only be used while you are acting in the service of your liege (an individual of higher social standing chosen when you take this feat).||
Accelerated Drinker|Basic|Combat||||||||You may drink a potion as a move action instead of a standard as long as you start your turn with the potion in your hand.||
Acolyte of Razmir|Regional|||||||||You gain a +1 trait bonus on Knowledge (local) and Knowledge (religion) checks, and one of these skills is always a class skill for you. This bonus increases to +2 when dealing with specifics of a specific faith.||
Acrobat|Basic|Social||||||||You gain a +1 bonus on Acrobatics checks, and you take only a –2 penalty instead of the normal – 5 penalty when using the Climb skill to attempt an accelerated climb.||
Acupuncturist|Regional|||||||||You gain a +2 trait bonus on all Fortitude saves made against poison effects.||
Adaptable Flatterer|Race||Fetchling|||||||You gain a +1 trait bonus on Bluff checks and on attack rolls against opponents who are denied their Dexterity bonus to AC against you.||
Adopted|Basic|Social||||||||You may select a race trait from your adoptive parents’ race.||
Adrift|Race||Aasimar|||||||You receive a +1 trait bonus on saving throws made to resist charm and compulsion effects.||
Adroit|Race||Kasatha|||||||If one of your hands is free and your base attack bonus is +1 or higher, you can draw a weapon as a free action combined with any move action including move actions to direct spells, manipulate items, stand up, and so on).||Pathfinder Player Companion: People of the Stars
Advantageous Distraction|Race||Goblin|||||||Once per day as a swift action, you can be momentarily distracted in combat—ducking an axe swing to inspect a toadstool, or stooping behind a tree to lick some bark and accidentally avoiding an arrow, and so on. When you activate this ability, you gain a +2 dodge bonus to your AC for 1 round.||
Adventurous Explorer|Race|||||||||When frightened or shaken, you only take a -1 penalty on your rolls instead of -2.||
Advocate for the Empire|Regional|||||||||You gain a +1 trait bonus on Bluff checks, and Bluff becomes a class skill for you.||
Aerial Observer|Race||Sylph|||||||You gain a +2 trait bonus on Perception checks while you are at least 30 feet above ground level.||
Affable|Basic|Social||||||||You gain a +2 trait bonus on Diplomacy checks to gather information, and can do so in half the normal time. In addition, Diplomacy and Knowledge (local) are always class skills for you.||
Affinity of the Elements|Religion|||||||Elemental Lords||The DC of saving throws to resist spells cast by you that have either the air, earth, fire, or water descriptor, is increased by +1. The type of element depends on which elemental lord you worship. Which bonus you receive is chosen when you take the trait and may not be changed.||
Agent of Chance|Religion|||||||||Once a day, when an adjacent ally makes a skill check and doesn’t like the result, you can allow him a reroll as an immediate action. Your ally must take the result of the reroll, even if it is worse than the original roll.||
Agent of Dusk|Regional|||||||||You have quite a bit more spending cash than most others of your age as a result, and start with twice the normal amount of starting gold. In addition, your reputation remains strong and any transactions you make in your home city are always beneficial to you; items you sell net you an additional 10% profit, and items you purchase there are 10% cheaper than normal. This discount also applies to your starting gear.||
Agent of the Sultana (Plane of Earth)|Regional|||||||||You gain a +2 trait bonus on Disable Device checks to disarm any traps that you know deal f ire damage, and you gain a +2 trait bonus on attack rolls to confirm critical hits against creatures with the fire subtype.||Pathfinder Player Companion: Blood of the Elements
Aid Allies|Faction|||||||||When using the aid another action, you give your ally a +3 bonus instead of a +2 bonus.||
Air-Touched|Basic|Magic||||||||You gain DR 1/— against creatures and attacks with the air type.||
Airship Captain (Plane of Air)|Regional|||||||||You gain a +2 trait bonus on Wisdom checks to move in a plane with subjective directional gravity (see planar rules) and a +2 trait bonus on driving checks (see the vehicle rules).||Pathfinder Player Companion: Blood of the Elements
Akitonian Ferocity|Regional|||||||||Once per day, the first time you are brought below 0 hit points but not killed, you can fight on for 1 more round as if disabled. At the end of your next turn, unless brought to above 0 hit points, you immediately fall unconscious and begin dying.||Pathfinder Player Companion: People of the Stars
Alabaster Odalisque|Regional|||||||||You gain a +1 trait bonus on two Charisma-based skills of your choice. In addition, once per day as a swift action, you can brush your fingers against a closed door or stone wall up to 1 foot thick. Doing so allows you to ignore penalties on Perception checks to listen through the designated object for 1 minute.||Pathfinder Player Companion: Blood of the Elements
Alabaster Outcast|Campaign|Shattered Star||||||||You gain a +1 trait bonus on Diplomacy and Intimidate checks made within the city. Additionally, you start play with a noble's outfit, a signet ring, and a single additional non-magical item worth no more than 200 gp.||
Alchemical Adept|Basic|Magic||||||||You gain a +2 trait bonus on all Craft (alchemy) checks made to craft alchemical items. Furthermore, when you fail a Craft (alchemy) check by 5 or more but don't roll a natural 1, you don't ruin any raw materials or have to pay that cost again.||
Alchemical Breath|Race||Kobold|Green-Scaled||||||You begin play with three pieces of the choking smoke variety of alchemical coal. Eating one of these pellets allows you to exhale noxious vapors, damaging and sickening your enemies. These pellets do not count against your starting character wealth.||
Alchemical Intuition|Basic|Magic||||||||Once per day as a free action, you may gain a trait bonus equal to your Charisma modifier (minimum 0) on a Craft (alchemy) check you make. You can apply this bonus after you roll the check, possibly turning a failure into a success.||
Alchemical Prodigy|Regional|||||||||Choose one 1st-level spell from the bard, cleric, druid, or sorcerer/wizard spell list. If you have the Brew Potion feat, you may create potions of this spell as if it were on your spell list.||
Alchemical Prodigy|Regional|||||||||If you have the alchemy class feature, your alchemist level is considered 1 higher when calculating the duration of your extracts.||
Alchemists Apprentice|Regional|||||||||Upon imbibing a potion containing a spell on your formula list of a spell level you are capable of casting, you can attempt a Spellcraft check (DC 15 + extract level). On a success, you can immediately add the spell to your formula book.||Pathfinder Player Companion: Blood of the Elements
Alert|Basic|Combat||||||||Once per day as a free action, you can take 10 on your initiative check.||Pathfinder Player Companion: People of the Stars
Alien Origins|Regional||||||||Strange Monument|You start play with a unique compass that doesn't point north and is riddled with indecipherable alien markings—the only object you have that you know to be tied to your home. In addition, your inscrutable mannerisms give you a +2 trait bonus on opposed Bluff checks.||
Alkenstar Defender|Regional|||||||||You gain a +1 trait bonus on all rolls to confirm critical hits with ranged weapons.||
Alluring|Religion|||||||||You receive a +2 trait bonus on Diplomacy checks with those who find you attractive. You can use daze once per day as a spell-like ability, with a caster level equal to your character level.||
Almost Human|Race||Half-Orc|||||||You gain a + 4 trait bonus on Disguise checks to pass as human, and Disguise is always a class skill for you.||
Altruistic Diplomat|Regional|||||||||You gain a +2 trait bonus on Diplomacy checks. You must be Lawful Good, Neutral Good, or Chaotic Good to take this trait.||
Ambassador|Religion|||||||Sun, redemption, honesty, healing||You gain a +2 trait bonus to Diplomacy checks.||
